title,rooms,address,price,floor,square,publication_date,link,images
"1-комнатная квартира, 30 м?, 3/9 эт.,1,""Москва, Центральный, Якиманка, ул. Крымский Вал, 6 "",2 900 руб.  / день,3 из 9,30 м?,Опубликовано 29 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900678825/,[]"
"2-комнатная квартира, 42 м?,2,""Москва, Юго-Западный, Обручевский, ул. Архитектора Власова, 39 "",2 500 руб.  / день,40 %,42 м?,Опубликовано 13 апреля 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5892846079/,[]"
"3-комнатная квартира, 69 м?, 4/5 эт.,3,""Москва, Центральный, Тверской, ул. Лесная, 35/2 "",3 600 руб.  / день,4 из 5,69 м?,Опубликовано 15 февраля 2017 г.,https://www.gdeetotdom.ru/obj/living/msk/5900602833/,[]"
"1-комнатная квартира, 32 м?, 6/9 эт.,1,""Москва, Западный, Дорогомилово, просп. Кутузовский, 17 "",3 000 руб.  / день,6 из 9,32 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5882044363/,[]"
"1-комнатная квартира, 30 м?, 6/9 эт.,1,""Москва, Западный, Дорогомилово, наб. Бережковская, 8 "",2 800 руб.  / день,6 из 9,30 м?,Опубликовано 28 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5901416685/,[]"
"1-комнатная квартира, 31 м?, 2/9 эт.,1,""Москва, Западный, Дорогомилово, наб. Бережковская, 4 "",3 100 руб.  / день,2 из 9,31 м?,Опубликовано 28 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5901418241/,[]"
"2-комнатная квартира, 48 м?, 2/7 эт.,2,""Москва, Центральный, Хамовники, ул. Смоленская, 3 "",2 800 руб.  / день,2 из 7,48 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900603085/,[]"
"3-комнатная квартира, 68 м?, 4/10 эт.,3,""Москва, Западный, Дорогомилово, бул. Украинский, 5 "",3 100 руб.  / день,4 из 10,68 м?,Опубликовано 28 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5901432773/,[]"
"2-комнатная квартира, 49 м?, 9/9 эт.,2,""Москва, Западный, Дорогомилово, наб. Бережковская, 4 "",3 200 руб.  / день,9 из 9,49 м?,Опубликовано 28 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900681941/,[]"
"2-комнатная квартира, 40 м?, 2/9 эт.,2,""Москва, Западный, Дорогомилово, наб. Бережковская, 4 "",3 000 руб.  / день,2 из 9,40 м?,Опубликовано 29 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900679279/,[]"
"2-комнатная квартира, 54 м?, 3/12 эт.,2,""Москва, Центральный, Тверской, пер. Оружейный, 5 "",3 200 руб.  / день,3 из 12,54 м?,Опубликовано 29 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900679717/,[]"
"1-комнатная квартира, 40 м?,40 м?,""Москва, Юго-Западный, Ясенево, ул. Ясногорская, 21к2 "",2 500 руб.  / день,1,8 м?,Опубликовано 19 апреля 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/6268833151/,[]"
"1-комнатная квартира, 36 м?, 11/12 эт.,1,""Москва, Центральный, Тверской, пер. Оружейный, 5 "",2 800 руб.  / день,11 из 12,36 м?,Опубликовано 26 января 2021 г.,https://www.gdeetotdom.ru/obj/living/msk/5882081055/,[]"
"2-комнатная квартира, 44 м?, 4/5 эт.,2,""Москва, Южный, Нагорный, ул. Нагорная, 29К3 "",2 400 руб.  / день,4 из 5,44 м?,Опубликовано 10 апреля 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5850615057/,[]"
